"","Funnel Disciplines","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"168","Sprint",4,NA,TRUE,FALSE,TRUE,5
"169","Sprint",4,NA,TRUE,FALSE,TRUE,6
"170","Sprint",3,NA,TRUE,FALSE,TRUE,1
"171","Sprint",1,NA,TRUE,FALSE,TRUE,2
"172","Sprint",1,NA,TRUE,FALSE,TRUE,3
"173","Sprint",1,NA,TRUE,FALSE,FALSE,4
"174","Sprint",8,NA,FALSE,FALSE,TRUE,4
"175","Sprint",8,NA,TRUE,FALSE,TRUE,7
"176","Team Sprint",1,NA,TRUE,FALSE,TRUE,1
"177","Team Sprint",1,NA,TRUE,FALSE,TRUE,2
"178","Team Sprint",1,NA,TRUE,FALSE,TRUE,3
"179","Team Sprint",3,NA,TRUE,FALSE,FALSE,4
"180","Team Sprint",2,NA,TRUE,FALSE,TRUE,5
"181","Team Pursuit",4,NA,TRUE,FALSE,TRUE,2
"182","Madison",1,NA,TRUE,FALSE,TRUE,1
"183","Madison",4,NA,TRUE,FALSE,TRUE,3
"184","Team Sprint",3,43.796,TRUE,FALSE,TRUE,3
"185","Keirin",2,NA,TRUE,FALSE,FALSE,4
"186","Keirin",1,NA,TRUE,FALSE,TRUE,7
"187","Team Sprint",1,NA,TRUE,FALSE,FALSE,4
"188","Team Pursuit",1,237.468,TRUE,FALSE,TRUE,1
"189","Team Pursuit",2,241.527,TRUE,FALSE,TRUE,2
"190","Team Pursuit",1,NA,TRUE,FALSE,TRUE,2
"191","Team Pursuit",1,251.798,TRUE,TRUE,TRUE,5
"192","Team Sprint",3,33.586,TRUE,FALSE,TRUE,1
"193","Team Sprint",2,33.192,TRUE,FALSE,TRUE,2
"194","Team Sprint",7,NA,TRUE,FALSE,TRUE,3
"195","Team Sprint",2,NA,TRUE,FALSE,FALSE,4
"196","Team Sprint",6,NA,TRUE,FALSE,TRUE,5
"197","Madison",8,NA,TRUE,FALSE,TRUE,1
"198","Madison",6,NA,TRUE,FALSE,TRUE,2
"199","Madison",5,NA,TRUE,FALSE,TRUE,3
"200","Team Pursuit",1,237.28,TRUE,FALSE,TRUE,1
"201","Team Pursuit",5,NA,FALSE,FALSE,TRUE,4
"202","Team Pursuit",5,NA,TRUE,FALSE,TRUE,5
"203","Team Sprint",1,43.83,TRUE,FALSE,TRUE,1
"204","Team Sprint",1,43.969,TRUE,FALSE,TRUE,2
"205","Team Sprint",4,44.835,TRUE,FALSE,TRUE,3
"206","Sprint",1,NA,TRUE,FALSE,TRUE,2
"207","Sprint",1,NA,TRUE,FALSE,TRUE,3
"208","Sprint",7,NA,TRUE,FALSE,FALSE,4
"209","Sprint",2,NA,TRUE,FALSE,TRUE,5
"210","Sprint",13,NA,TRUE,FALSE,TRUE,6
"211","Sprint",4,NA,TRUE,FALSE,TRUE,7
"212","Team Pursuit",1,NA,TRUE,FALSE,TRUE,3
"213","Team Pursuit",3,272.69,TRUE,FALSE,TRUE,1
"214","Team Pursuit",1,275.75,TRUE,FALSE,TRUE,2
"215","Team Pursuit",1,275.75,TRUE,FALSE,TRUE,2
