"","Funnel Disciplines","Gender","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"232","C1 1000m","Men",5,267.4,TRUE,FALSE,TRUE,1
"233","K1 200m","Men",2,34.986,TRUE,FALSE,TRUE,1
"234","K1 200m","Men",1,34.807,TRUE,FALSE,TRUE,2
"235","K1 200m","Men",9,37.036,TRUE,FALSE,TRUE,7
"236","K1 1000m","Men",4,210.615,TRUE,FALSE,TRUE,1
"237","K1 1000m","Men",1,207.586,TRUE,FALSE,TRUE,2
"238","K2 1000m","Men",6,196.057,TRUE,FALSE,TRUE,1
"239","K2 1000m","Men",2,193.691,TRUE,FALSE,TRUE,2
"240","K2 1000m","Men",1,196.685,TRUE,FALSE,TRUE,3
"241","K2 1000m","Men",9,200.515,FALSE,FALSE,TRUE,4
"242","K4 500m","Women",7,96.592,TRUE,FALSE,TRUE,1
"243","K4 500m","Women",5,105.871,TRUE,FALSE,TRUE,2
"244","K4 500m","Women",7,101.06,TRUE,FALSE,TRUE,3
"245","K2 1000m","Men",18,208.735,TRUE,FALSE,TRUE,1
"246","K1 500m","Women",1,116.684,TRUE,TRUE,TRUE,2
"247","K1 500m","Women",1,112.554,TRUE,TRUE,TRUE,3
"248","C2 1000m","Men",7,273.06,TRUE,FALSE,TRUE,1
"249","C2 1000m","Men",7,248.15,TRUE,FALSE,TRUE,2
"250","K4 500m","Women",2,98.66,TRUE,FALSE,TRUE,1
"251","K4 500m","Women",1,93.82,TRUE,FALSE,TRUE,2
"252","K4 500m","Women",3,97.41,TRUE,FALSE,TRUE,3
"253","K4 500m","Women",5,109.2,TRUE,FALSE,TRUE,5
"254","K4 500m","Women",3,98.37,TRUE,FALSE,TRUE,6
"255","K4 500m","Women",4,101.23,TRUE,FALSE,TRUE,7
"256","K4 500m","Women",1,93.82,TRUE,FALSE,TRUE,2
"257","C2 1000m","Men",1,218.508,TRUE,FALSE,TRUE,1
"258","C2 1000m","Men",8,213.328,TRUE,FALSE,TRUE,2
"259","C2 1000m","Men",10,221.749,TRUE,FALSE,TRUE,3
"260","C2 1000m","Men",10,NA,FALSE,FALSE,TRUE,4
"261","C2 1000m","Men",13,214.524,TRUE,FALSE,TRUE,5
"262","C2 1000m","Men",14,227.913,TRUE,FALSE,TRUE,6
"263","C2 1000m","Men",15,NA,TRUE,TRUE,TRUE,7
"264","K4 500m","Women",1,93.993,TRUE,FALSE,TRUE,1
"265","K2 500m","Women",2,104.36,TRUE,FALSE,TRUE,1
"266","K2 500m","Women",2,108.45,TRUE,FALSE,TRUE,2
"267","K2 500m","Women",2,104.63,TRUE,FALSE,TRUE,3
"268","K4 500m","Women",2,98.37,TRUE,FALSE,TRUE,1
"269","K4 500m","Women",2,96.29,TRUE,FALSE,TRUE,2
"270","K4 500m","Women",4,108.87,TRUE,FALSE,TRUE,1
"271","K4 500m","Women",4,98.55,TRUE,FALSE,TRUE,2
"272","K4 500m","Women",3,100.94,TRUE,FALSE,TRUE,3
"273","K4 500m","Women",7,110.04,TRUE,FALSE,TRUE,5
"274","K4 500m","Women",2,98.66,TRUE,FALSE,TRUE,1
"275","K4 500m","Women",1,93.82,TRUE,FALSE,TRUE,2
"276","K4 500m","Women",3,97.41,TRUE,FALSE,TRUE,3
"277","K4 500m","Women",5,109.2,TRUE,FALSE,TRUE,5
"278","K4 500m","Women",3,98.37,TRUE,FALSE,TRUE,6
